N,Triton,Torch (native),Torch (compiled)
256.000000,163.840004,167.183679,167.183679
384.000000,173.070417,173.070417,173.070417
512.000000,176.172039,176.172039,176.172039
640.000000,178.086953,177.268056,178.086953
768.000000,178.086953,178.086953,178.086953
896.000000,179.200005,179.200005,178.641745
1024.000000,180.043953,179.060113,180.043953
1152.000000,179.824387,180.705886,179.824387
1280.000000,180.440531,180.440531,180.440531
1408.000000,180.223991,180.223991,180.223991
1536.000000,180.705879,180.705879,180.705879
1664.000000,181.115648,181.115648,181.115648
1792.000000,180.895900,181.468360,181.468360
1920.000000,181.238943,181.238943,181.238943
2048.000000,181.540160,181.540160,181.540160
2176.000000,181.806786,181.806786,181.806786
2304.000000,182.044445,182.044445,182.044445
2432.000000,181.831776,182.257615,181.831776
2560.000000,182.044448,182.044448,182.449883
2688.000000,182.237283,182.237283,182.237283
2816.000000,182.412964,182.412964,182.412964
2944.000000,182.220510,182.220510,182.573654
3072.000000,182.382199,182.382199,182.382199
3200.000000,182.531187,182.531187,182.531187
3328.000000,182.356157,182.385443,182.668949
3456.000000,182.495045,182.495045,182.495045
3584.000000,182.333858,182.624201,182.333858
3712.000000,182.463899,182.463899,182.463899
3840.000000,182.585438,182.857144,182.568479
3968.000000,182.699282,182.699282,182.699282
4096.000000,182.297635,182.806140,182.297635
4224.000000,182.906635,182.659462,182.659462
4352.000000,182.761159,183.001320,182.738671
4480.000000,183.090671,182.857149,182.624208
4608.000000,182.947885,182.947885,182.721195
4736.000000,183.033812,182.813022,182.813022
4864.000000,182.900113,182.900113,182.900113
4992.000000,182.982815,182.982815,182.982815
5120.000000,183.061452,183.061452,183.061452
5248.000000,183.136315,182.936818,182.936818
5376.000000,183.012766,183.012766,183.012766
5504.000000,183.085241,183.085241,182.895120
5632.000000,183.154464,182.968519,182.968519
5760.000000,183.044403,183.038732,183.038732
5888.000000,183.105922,183.105922,182.928148
6016.000000,183.170319,183.170319,182.996202
6144.000000,183.232056,183.232056,183.061448
6272.000000,183.124094,183.291332,182.957161
6400.000000,183.348253,183.184255,183.020550
6528.000000,183.242113,183.242113,182.921197
6656.000000,183.297762,183.147523,183.140153
6784.000000,183.196633,183.351343,183.042166
6912.000000,183.251037,183.251037,183.099338
7040.000000,183.303492,183.303492,183.005695
7168.000000,183.354120,183.207670,182.915470
7296.000000,183.259021,183.259021,182.971779
7424.000000,183.308646,183.308646,183.167312
7552.000000,183.356598,183.217585,183.078782
7680.000000,183.402991,183.266224,183.129661
7808.000000,183.313277,183.313277,183.178882
7936.000000,183.358851,183.226557,183.358851
8064.000000,183.276787,183.272726,183.272726
8192.000000,183.317489,183.317489,183.317489
8320.000000,183.360882,183.360882,182.982815
8448.000000,183.402979,183.402979,183.278637
8576.000000,183.443852,183.321310,183.076717
8704.000000,183.362734,183.362734,183.242099
8832.000000,183.402988,183.402988,183.284049
8960.000000,183.442095,183.324804,183.207663
9088.000000,183.480131,183.364442,183.248900
9216.000000,183.402983,183.402983,183.402983
9344.000000,183.440496,183.440496,183.215690
9472.000000,183.476997,183.366000,183.199755
9600.000000,183.402991,183.402991,183.293561
9728.000000,183.439010,183.439010,183.223071
9856.000000,183.474107,183.474107,183.367448
9984.000000,183.508330,183.402986,183.402986
10112.000000,183.541686,183.437637,183.385657
10240.000000,183.471447,183.471447,183.368776
10368.000000,183.504422,183.504422,183.402981
10496.000000,183.436376,183.536616,183.236226
10624.000000,183.518487,183.468967,183.320568
10752.000000,183.500804,183.500804,183.110166
10880.000000,183.531892,183.435193,183.435193
11008.000000,31.134524,37.434280,37.254084
11136.000000,20.251874,25.515681,25.258860
11264.000000,17.731166,24.486126,21.877155
11392.000000,19.948780,24.812415,23.114831
11520.000000,18.443065,23.396801,22.364861
11648.000000,17.914833,24.263507,22.295490
11776.000000,17.897507,24.011215,22.053726
11904.000000,18.194011,23.751589,20.117133
12032.000000,19.300899,24.948098,23.334788
12160.000000,18.773127,22.986767,23.598764
12288.000000,18.472987,23.982436,21.786630
12416.000000,18.623418,24.385441,22.876094
12544.000000,18.605237,24.114382,22.725924
12672.000000,17.255490,25.009498,22.675389
