N,Triton,Torch (native),Torch (compiled)
256.000000,163.840004,167.183679,167.183679
384.000000,173.070417,173.070417,173.070417
512.000000,176.172039,176.172039,176.172039
640.000000,178.086953,178.014397,178.086953
768.000000,178.086953,178.086953,178.086953
896.000000,179.200005,178.086953,179.200005
1024.000000,179.060113,180.043953,179.566055
1152.000000,180.705886,179.824387,179.879228
1280.000000,180.440531,180.440531,180.440531
1408.000000,180.947788,180.947788,180.947788
1536.000000,181.372696,181.372696,181.372696
1664.000000,181.115648,181.115648,181.115648
1792.000000,181.468360,181.468360,181.468360
1920.000000,181.775141,181.775141,181.775141
2048.000000,181.038678,181.540160,181.540160
2176.000000,181.806786,181.806786,181.806786
2304.000000,182.044445,182.044445,182.044445
2432.000000,182.257615,181.831776,182.257615
2560.000000,182.044448,182.044448,182.044448
2688.000000,182.237283,182.237283,182.237283
2816.000000,182.412964,182.412964,182.412964
2944.000000,182.573654,182.573654,182.573654
3072.000000,182.562120,182.382199,182.721182
3200.000000,182.531187,182.531187,182.531187
3328.000000,182.668949,182.668949,182.668949
3456.000000,182.495045,182.782535,182.495045
3584.000000,182.624201,182.624201,182.624201
3712.000000,182.463899,182.744615,182.463899
3840.000000,182.585438,182.585438,182.585438
3968.000000,182.436781,182.962539,182.436781
4096.000000,182.297635,182.806140,182.551533
4224.000000,182.906635,182.906635,182.412956
4352.000000,183.001320,182.761159,182.761159
4480.000000,182.857149,182.857149,182.624208
4608.000000,182.947885,182.724727,182.834476
4736.000000,183.033812,183.033812,182.813022
4864.000000,183.115292,183.115292,182.900113
4992.000000,183.192660,182.982815,182.982815
5120.000000,183.061452,183.061452,183.061452
5248.000000,183.136315,183.136315,183.136315
5376.000000,183.207670,183.012766,183.012766
5504.000000,183.275758,183.085241,183.085241
5632.000000,183.154464,183.154464,183.154464
5760.000000,183.220680,183.220680,183.038732
5888.000000,183.284042,183.105922,183.105922
6016.000000,183.170319,183.170319,183.170319
6144.000000,183.232056,183.232056,183.061448
6272.000000,183.291332,183.124094,183.124094
6400.000000,183.184255,183.184255,183.020550
6528.000000,183.242113,183.242113,183.081514
6656.000000,183.140153,183.297762,182.982815
6784.000000,183.351343,183.196633,183.042166
6912.000000,183.251037,183.251037,182.947889
7040.000000,183.303492,183.303492,183.005695
7168.000000,183.207670,183.354120,182.915470
7296.000000,183.402981,183.259021,183.115288
7424.000000,183.308646,183.308646,183.167312
7552.000000,183.356598,183.356598,183.078782
7680.000000,183.402991,183.266224,183.266224
7808.000000,183.313277,183.313277,183.313277
7936.000000,183.358851,183.358851,183.226557
8064.000000,183.402985,183.272726,183.272726
8192.000000,183.317489,183.443757,183.317489
8320.000000,183.360882,183.360882,182.857139
8448.000000,183.402979,183.340787,183.216544
8576.000000,183.443852,183.321310,183.198932
8704.000000,183.483527,183.362734,183.242099
8832.000000,183.402988,183.402988,183.165264
8960.000000,183.442095,183.324804,183.324804
9088.000000,183.364442,183.364442,183.248900
9216.000000,183.402983,183.402983,183.402983
9344.000000,183.440496,183.440496,183.215690
9472.000000,183.476997,183.366000,183.255137
9600.000000,183.512539,183.402991,183.293561
9728.000000,183.439010,183.439010,183.223071
9856.000000,183.474107,183.474107,183.260900
9984.000000,183.508330,183.508330,183.402986
10112.000000,183.541686,183.437637,183.333706
10240.000000,183.471447,183.471447,183.266220
10368.000000,183.504422,183.504422,183.498089
10496.000000,183.536616,183.436376,183.336247
10624.000000,183.468967,183.568033,183.271155
10752.000000,183.500804,183.500804,183.110166
10880.000000,183.435193,183.531892,183.435193
11008.000000,32.418187,37.950440,37.710739
11136.000000,21.107833,25.807646,25.618404
11264.000000,21.642681,25.811736,25.627303
11392.000000,21.297189,25.819394,25.622491
11520.000000,22.087518,25.819646,25.617790
11648.000000,22.082825,25.807381,25.611433
11776.000000,19.105252,24.188459,22.540495
11904.000000,18.485369,24.155232,22.399623
12032.000000,18.462837,24.452179,22.412481
12160.000000,18.341740,24.388594,21.632840
12288.000000,18.901888,24.337192,22.535159
12416.000000,18.687363,24.406412,22.384406
12544.000000,18.664930,24.654998,22.254698
12672.000000,18.636151,25.313940,23.252709
